STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,DTWL
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2023-05-01,4.8
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2022-05-01,4.93
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2019-05-01,5.74
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2018-05-01,4.5
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2017-05-01,5.8
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2016-05-01,5.63
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2015-05-01,3.33
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,2014-05-01,5.4
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2024-05-10,3.7
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2023-05-01,0.85
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2022-05-01,1.18
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2019-05-01,0.8
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2018-05-01,0.8
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2017-05-01,0.95
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2016-05-01,0.98
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2015-05-01,0.91
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,2014-05-01,0.82
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Thadigiri,18.1792,82.7086,2022-05-01,18.32
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Chedipalem,17.6416,82.2245,2024-05-10,10.36
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Chedipalem,17.6416,82.2245,2023-05-01,9.46
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Chedipalem,17.6416,82.2245,2022-05-01,11.11
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2024-05-10,4.25
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2023-05-01,2.64
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2022-05-01,2.85
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2019-05-01,3.71
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2018-05-01,3.16
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2017-05-01,3.36
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2016-05-01,3.46
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2015-05-01,2.96
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,2014-05-01,3.36
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2024-05-10,5.05
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2023-05-01,3.98
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2022-05-01,4.52
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2019-05-01,4.23
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2018-05-01,4.07
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2017-05-01,4.29
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2016-05-01,4.21
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2015-05-01,4.13
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,2014-05-01,4.0
Andhra Pradesh,Alluri Sitharama Raju Munchingi,Puttu,Munchingiputtu,18.3681,82.5101,2022-05-01,9.54
